Name,Location,Rank,Name_2,Rank_2
Edgewood College,"Madison, WI",174,Univ. of Maryland--Baltimore County,166
Florida Institute of Technology,"Melbourne, FL",175,University of Rhode Island,166
University of Idaho,"Moscow, ID",176,Washington State University,166
University of Louisville,"Louisville, KY",177,Gallaudet University (DC),179
University of Wyoming,"Laramie, WY",178,Missouri Univ. of Science & Tech--Rolla.,179
Ball State University,"Muncie, IN",179,St. John's University (NY),179
Lipscomb University,"Nashville, TN",180,University of Detroit Mercy,179
Mississippi State University,"Mississippi State, MS",181,University of Idaho,179
Montclair State University,"Montclair, NJ",182,Univ. of Massachusetts--Lowell,179
Texas Tech University,"Lubbock, TX",183,Biola University (CA),185
University of Central Florida,"Orlando, FL",184,Chatham University (PA),185
University of New Mexico,"Albuquerque, NM",185,Ohio University,185
Andrews University,"Berrien Springs, MI",186,Pacific University (OR),185
Azusa Pacific University,"Azusa, CA",187,Union University (TN),185
University of Maine,"Orono, ME",188,University of Houston,185
West Virginia University,"Morgantown, WV",189,University of North Carolina--Wilmington,185
Widener University,"Chester, PA",190,Ball State University (IN),192
Kent State University,"Kent, OH",191,Misericordia University (PA),192
North Dakota State University,"Fargo, ND",192,Oklahoma State University,192
Pace University,"New York, NY",193,Seattle Pacific University,192
Robert Morris University,"Moon Township, PA",194,University of Louisville (KY),192
Suffolk University,"Boston, MA",195,Bellarmine University (KY),197
University of Hartford,"West Hartford, CT",196,Bethel University (MN),197
Bowling Green State University,"Bowling Green, OH",197,Illinois State University,197
University of Houston,"Houston, TX",198,Loyola University New Orleans,197
Western Michigan University,"Kalamazoo, MI",199,Towson University (MD),197
Indiana University-Purdue University--Indianapolis,"Indianapolis, IN",200,Edgewood College (WI),202
Lesley University,"Cambridge, MA",201,Florida Institute of Technology,202
University of Alabama--Huntsville,"Huntsville, AL",202,Maryville Univ. of St. Louis,202
University of Colorado--Denver,"Denver, CO",203,Pace University (NY),202
University of Nevada--Reno,"Reno, NV",204,Regis University (CO),202
California State University--Fullerton,"Fullerton, CA",205,Robert Morris University (PA),202
Central Michigan University,"Mount Pleasant, MI",206,University of Maine,202
Louisiana Tech University,"Ruston, LA",207,University of St. Francis (IL),202
South Dakota State University,"Brookings, SD",208,Widener University (PA),202
University of Alaska--Fairbanks,"Fairbanks, AK",209,California State University--Fresno,211
University of North Carolina--Charlotte,"Charlotte, NC",210,Georgia State University,211
University of North Dakota,"Grand Forks, ND",211,Immaculata University (PA),211
University of South Dakota,"Vermillion, SD",212,Kent State University (OH),211
East Carolina University,"Greenville, NC",213,Mississippi State University,211
Montana State University,"Bozeman, MT",214,University of Hartford (CT),211
Old Dominion University,"Norfolk, VA",215,Wilkes University (PA),211
University of Missouri--Kansas City,"Kansas City, MO",216,Clarke University (IA),218
